tahun,bulan,jenis_komoditas,nama_komoditas,nilai_ekspor
2005,"Mei","Hasil industri","Makanan ternak",3665
2005,"Mei","Hasil industri","Margarin dan lemak lainnya",11383
2005,"Mei","Hasil industri","Produk farmasi",10017
2005,"Mei","Hasil industri","Barang dari logam mulia",4970
2005,"Mei","Hasil industri","Kulit dan barang dari kulit",8597
2005,"Mei","Hasil industri","Preparat pembasmi kuman",831
2005,"Mei","Hasil industri","Pesawat udara dan bagiannya",8535
2005,"Mei","Hasil industri","Bahan celup organik sintetik",7978
2005,"Mei","Hasil industri","Semen",9459
2005,"Mei","Hasil industri","Kendaraan bermotor roda 2 dan 3",23784
2005,"Mei","Hasil industri","Barang anyaman",0
2005,"Mei","Hasil industri","Rotan olahan",0
2005,"Mei","Hasil industri","Peti kemas",0
2005,"Mei","Hasil industri","Gliserol dan larutan alkali",0
2005,"Mei","Hasil industri","Hasil industri lainnya",2053890
2005,"Mei","Hasil pertambangan dan sektor lainnya","Batubara",185154
2005,"Mei","Hasil pertambangan dan sektor lainnya","Biji tembaga",0
2005,"Mei","Hasil pertambangan dan sektor lainnya","Biji nikel",0
2005,"Mei","Hasil pertambangan dan sektor lainnya","Bauksit",1478
2005,"Mei","Hasil pertambangan dan sektor lainnya","Granit",3869
2005,"Mei","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",9572
2005,"Mei","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",245
2005,"Mei","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",118429
2005,"Juni","Hasil pertanian","Biji coklat",30058
2005,"Juni","Hasil pertanian","Udang",75805
2005,"Juni","Hasil pertanian","Biji kopi",46508
2005,"Juni","Hasil pertanian","Ikan dan lain-lain",18459
2005,"Juni","Hasil pertanian","Rempah-rempah",12110
2005,"Juni","Hasil pertanian","Teh",9286
2005,"Juni","Hasil pertanian","Bahan nabati",682
2005,"Juni","Hasil pertanian","Buah-buahan",86
2005,"Juni","Hasil pertanian","Tembakau",20012
2005,"Juni","Hasil pertanian","Sayur-sayuran",1651
2005,"Juni","Hasil pertanian","Damar dan getah damar",1615
2005,"Juni","Hasil pertanian","Karet alam",120
2005,"Juni","Hasil pertanian","Hasil pertanian lainnya",35494
2005,"Juni","Hasil industri","Minyak sawit",409851
2005,"Juni","Hasil industri","Tekstil dan produk tekstil",533453
2005,"Juni","Hasil industri","Peralatan listrik, alat ukur dan optik",484240
